top_level_category,subcategory,product_name,image_url,product_url,price
groceries,olive-oils,Just Organic Extra Virgin Olive Oil 500ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/olive_oil/ALN1075_OLIVE-OIL_1x1_228x128_5.jpg,https://www.aldi.com.au/en/groceries/olive-oils/olive-oil-detail/ps/p/just-organic-extra-virgin-olive-oil-500ml/,$4.69
groceries,olive-oils,Remano Olive Oil / Mild Olive Oil 1L,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/olive_oil/ALN1075_OLIVE-OIL_1x1_228x128_3_01.jpg,https://www.aldi.com.au/en/groceries/olive-oils/olive-oil-detail/ps/p/remano-olive-oil-mild-olive-oil-1l/,$5.99
groceries,olive-oils,The Olive Tree Australian Extra Virgin Olive Oil Spray 225g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/olive_oil/2018/ALN1726-3_1x1_OLIVE-OIL_228x128_.jpg,https://www.aldi.com.au/en/groceries/olive-oils/olive-oil-detail/ps/p/the-olive-tree-australian-extra-virgin-olive-oil-s/,$2.99
groceries,olive-oils,The Olive Tree Australian Extra Virgin Olive Oil 1L – Fruity,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/olive_oil/2018/ALN1726-3_1x1_OLIVE-OIL_228x128_2.jpg,https://www.aldi.com.au/en/groceries/olive-oils/olive-oil-detail/ps/p/the-olive-tree-australian-extra-virgin-olive-oil-1-2/,$8.99
groceries,olive-oils,The Olive Tree Australian Extra Virgin Olive Oil 3L,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/olive_oil/2018/ALN1726-3_1x1_OLIVE-OIL_228x128_3.jpg,https://www.aldi.com.au/en/groceries/olive-oils/olive-oil-detail/ps/p/the-olive-tree-australian-extra-virgin-olive-oil-3/,$23.99
groceries,olive-oils,Remano Extra Virgin Olive Oil 3.78L,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/olive_oil/2017/ALN1136_1x1_OIL_228x128_3.jpg,https://www.aldi.com.au/en/groceries/olive-oils/olive-oil-detail/ps/p/remano-extra-virgin-olive-oil-378l/,$22.99
groceries,olive-oils,Casa Barelli Extra Virgin Olive Oil 750ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/olive_oil/2017/ALN1136_1x1_OIL_228x128_4.jpg,https://www.aldi.com.au/en/groceries/olive-oils/olive-oil-detail/ps/p/casa-barelli-extra-virgin-olive-oil-750ml/,$4.99
groceries,olive-oils,Cobram Estate  Australia Extra Virgin Olive Oil 500ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/olive_oil/ALN1075_OLIVE-OIL_1x1_228x128_3.jpg,https://www.aldi.com.au/en/groceries/olive-oils/olive-oil-detail/ps/p/cobram-estate-australia-extra-virgin-olive-oil-500/,$8.99
special-buys,special-buys-liquor,South of Somewhere Pale Ale 6 x 330ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_16/LIQUOR/WK16_SPECIAL_BUYS_LIQUOR_1x1_.jpg,https://www.aldi.com.au/en/special-buys/special-buys-liquor/liquor-detail/ps/p/south-of-somewhere-pale-ale-6-x-330ml/,$9.99
special-buys,special-buys-sat-20-april,Original Source Shower Gel 250ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_16/SAT/WK16_1x1_228x128_37.jpg,https://www.aldi.com.au/en/special-buys/special-buys-sat-20-april/saturday-detail-wk16/ps/p/original-source-shower-gel-250ml-8/,$1.99
